,gene_id,gene_ontology
108,,peptidoglycan turnover
109,,ATP binding
110,,carbohydrate kinase activity
111,,N-acetylmuramic acid metabolic process
112,,peptidoglycan turnover
113,,N-acetylmuramic acid metabolic process
114,,uridylyltransferase activity
115,,uridylyltransferase activity
116,,UTP binding
117,,magnesium ion binding
118,,carbohydrate derivative binding
119,,palmitoyl-CoA hydrolase activity
120,,carboxylic ester hydrolase activity
121,,DNA-binding transcription activator activity
122,,protein-DNA complex
123,,transcription regulatory region sequence-specific DNA binding
124,,protein-DNA complex
125,,DNA-binding transcription activator activity
126,,transcription regulatory region sequence-specific DNA binding
127,,"negative regulation of transcription, DNA-templated"
128,,thiamine biosynthetic process
129,,glycine oxidase activity
130,,cellular amino acid metabolic process
131,,FAD binding
132,,DNA-binding transcription repressor activity
133,,DNA-binding transcription activator activity
134,,protein-DNA complex
135,,transcription regulatory region sequence-specific DNA binding
136,,DNA-binding transcription repressor activity
137,,protein-DNA complex
138,,transcription regulatory region sequence-specific DNA binding
139,,glycerol metabolic process
140,,glycerol kinase activity
141,,identical protein binding
142,,identical protein binding
143,,sulfonate dioxygenase activity
144,,taurine dioxygenase activity
145,,iron ion binding
146,,sulfur compound catabolic process
147,,DNA-binding transcription activator activity
148,,protein-DNA complex
149,,transcription regulatory region sequence-specific DNA binding
150,,protein-DNA complex
151,,DNA-binding transcription repressor activity
152,,protein-DNA complex
153,,transcription regulatory region sequence-specific DNA binding
154,,"negative regulation of transcription, DNA-templated"
155,,sequence-specific DNA binding
156,,aromatic compound catabolic process
157,,"oxidoreductase activity, acting on CH or CH2 groups"
158,,obsolete oxidation-reduction process
159,,aromatic compound catabolic process
160,,"oxidoreductase activity, acting on CH or CH2 groups"
161,,obsolete oxidation-reduction process
162,,DNA-binding transcription repressor activity
163,,DNA-binding transcription activator activity
164,,protein-DNA complex
165,,transcription regulatory region sequence-specific DNA binding
